name,kind,state,evidence,scope,axis,needs_height,needs_grids,effect,next_step,source
Hoops,catalog card,accepted,Added,grid-local,x+line,no,1,"Base suit. When a Hoops card scores, hoop props sweep the scored row; every talent (skill) card a hoop passes through scores again. Talented spawners suppress their own suit effect.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Knives,catalog card,accepted,Added,grid-local,x,no,1,Base suit. Knife props launch from the OPPOSITE row edge and score plain (non-skill) prop cards they pass; the spawner scores itself by design.,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Balls,catalog card,accepted,Added,grid-local,y,no,1,Base suit. Ball props arc down the column (mancala walk picks talent targets at spawn) and drop the Juggling status: a Juggling card pays out column score when it later scores.,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Flames,catalog card,accepted,Added,grid-local,x+y,no,1,Base suit. Fire props arc down the column dropping Burning: a Burning card's own suit effect fires with multiplied prop count. Same-act fire cascades (row-scored Burning buffing later columns) are intended.,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Gold,catalog card,modified,"Modified (type instead of suit, effect is that it increases its own cost, is heavy) (gold gen should be its own talent)",global,deck,no,1,"Special suit, never rolled randomly. Gold-suit cards ARE currency (full trade value at shops); when one scores, mint a Gold token card (TypeHeavy) to the deck bottom.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Electric,catalog card,accepted,Added,grid-local,x,no,1,"Special suit, never rolled. When an Electric card scores, an arc prop hops card-to-card through orthogonally adjacent cards, +points per link; the chain dies at the first gap.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Fireworks,catalog card,accepted,Added,grid-local,y,no,1,"Special suit, never rolled randomly (deck12 is its only grant path). When a Fireworks card scores, the rocket rises its column and banks the column score directly.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Roman Numerals,catalog card,accepted,Added,grid-local,h,yes,1,"Cosmetic rank skin: this card's rank renders as Roman numerals. Melds, stacks and comparisons are completely normal.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Blank,catalog card,accepted,Added,grid-local,h+line,yes,1,"No rank, no suit. Stacks on anything; anything stacks on it; never melds and scores 0. Pure spatial glue.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Joey,catalog card,vetoed,"Vetoed (rank that is always 11 is boring, joey should be a clown token with actual effect)",grid-local,none,no,1,Face rename: Jacks are Joeys. A Joey counts as a Clown-class card for group effects.,do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
The Ringmistress,catalog card,vetoed,Vetoed (reference can be recycled),grid-local,none,no,1,Face rename: Queens are Ringmistresses. Counts as a Producer-class card for group effects.,do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
The Impresario,catalog card,vetoed,Vetoed (reference can be recycled),global,deck,no,1,Face rename: Kings are Impresarios. Counts as a Producer-class card and gives +1 trade value when spent at shops.,do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
The Headliner,catalog card,vetoed,Vetoed (reference can be recycled),grid-local,x,no,1,"Face rename: Aces are Headliners. A Headliner counts HIGH or LOW in runs (1 or 14), decided at evaluation time in your favor.",do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
Half-Step,catalog card,accepted,Added (makes more sense as hat),grid-local,h+line,yes,1,Rank N½: stacks legally between N and N+1 in runs but never participates in poker melds.,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Fifteen,catalog card,accepted,Added (made into talent),grid-local,x,no,1,"This card ALSO melds with any adjacent neighbors whose ranks sum to 15 with it (the demoted cribbage rule — an ability, not a default).","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Best Bower,catalog card,accepted,Added (added effect that it randomly acts as any prop from the game),grid-local,h+line,yes,1,This card counts as EVERY suit for flush evaluation (never for suit-stacking rules).,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Half Card,catalog card,modified,"Modified (either talent that splits into two halves down middle, or becomes two cards where rank is half. recombines on score as its own meld)",grid-local,h+cell,yes,1,"Half rank (rounds down), half size: TWO Half Cards occupy one board slot together and meld as one combined card.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
Harlequin,catalog card,vetoed,vetoed (2 suit suit is boring),grid-local,line,no,1,"Dual-suit pip: this card counts as BOTH printed suits for every comparison, meld, and suit effect (both props fire).",do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
The Fire-Knife,catalog card,vetoed,vetoed (already have fire and knives),grid-local,x+y,no,1,Fixed dual-suit card: Knives AND Flames simultaneously — knife props fly the row while Burning drops down the column.,do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
The Wildcard,catalog card,accepted,Added (is any rank instead),grid-local,x,no,1,"Wild pip: on every board change it becomes a copy of a rank/suit currently present in its row, chosen deterministically. Cycling visuals show the current identity.","restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
The Forged Ace,catalog card,vetoed,Vetoed (??? wtf is this),grid-local,none,no,1,"Event-granted counterfeit: enormous rank (counts as two Aces in melds). If any inspection effect or Prepared Town examines it, it is destroyed and this show's fame payout is voided.",do not print; the reference may be recycled onto another card,CARD_CATALOG.csv seen? column
Paper,catalog card,accepted,Added,grid-local,cell,no,1,Default material. No modifier behavior; the baseline every other type upgrades.,"restate the effect against the four-coordinate board, then print it",CARD_CATALOG.csv seen? column
