source	name	slot_guess	mechanic
gam draft.txt:13	Deck click drop	rule	Each click of the deck causes new cards to drop down, rounds remaining decrease, and slots on the right score whatever card is put on them.
gam draft.txt:14	Score slot as free space	rule	The score slot can be used as a free/empty space between deck clicks.
gam draft.txt:17	Mulligan entrance cards	rule	Mulligan incoming cards by clicking them and pressing a discard button.
gam draft.txt:18	Rearrange entrance cards	rule	Player can rearrange incoming/entrance cards before placing them.
gam draft.txt:22	Deck variants change rules	map	Different decks influence the starting deck and rules; decks can be combined and picked up during a run.
gam draft.txt:25	Face cards worth 10	rank	Face cards all count as 10 when adding to a hand total.
gam draft.txt:30	Score for 15	rule	Score 2 points for every combination that sums to 15.
gam draft.txt:31	Score for 31	rule	Score 2 points for every combination that sums to 31.
gam draft.txt:32	Score for pair	rule	Score 2 points for a pair.
gam draft.txt:33	Score for triple	rule	Score 6 points for a triple.
gam draft.txt:34	Score for quad	rule	Score 12 points for a quad.
gam draft.txt:35	Score for run	rule	Score 3-7 points for a run of 3 to 7 cards.
gam draft.txt:38	Magic deck	map	Magic deck: each suit is an element; cast spells by submitting elemental suit combinations.
gam draft.txt:39	Survivor deck	map	Survivor deck: each suit represents a resource such as food, water, or a weapon.
gam draft.txt:46	Collect number cards to progress	boss	Collect all number cards to progress to a stage where remaining boss face cards must be faced (Deadman Wonderland reference).
gam draft.txt:47	FTL-style map with special cards	map	Map is FTL-like; each location is marked by a single special card the player collects, which has special effects.
gam draft.txt:48	Location difficulty from card	map	A map location's suit and rank determine its difficulty and type.
gam draft.txt:49	Minesweeper map reveal	map	Deck starts fully visible but face-down like Minesweeper; can only click a card adjacent to a face-down card, battling for it and revealing adjacent cards; win by uncovering all cards.
gam draft.txt:50	Map special squares	map	Some map squares are special locations like shops; e.g. all 7s could be shops.
gam draft.txt:51	Map probability rings	map	Map could be a square with rings of probability where higher-rank cards are more likely toward the middle.
gam draft.txt:56	Revealed cards act	rule	All revealed cards perform their abilities.
gam draft.txt:59	Pickup vs legal placement	rule	A stack can be picked up from anywhere, but if the resulting stack is illegal it can only be placed back on the submission spot.
gam draft.txt:64	Map card seeds next entrance	map	Clicking a card on the map makes it the first card to appear in the drop-down/entrance area of the subsequent match.
gam draft.txt:65	Cards as currency	meta	Instead of currency, cards themselves are the currency and are traded.
gam draft.txt:66	Gold heavy to bottom	type	Gold cards are heavy and always sink to the bottom of the deck.
gam draft.txt:67	Frankenstein card	skill	On submission, this card combines with the bottom and top cards into a 3-card merged stack that remains in the submission zone after scoring.
gam draft.txt:68	Sliced Bread card	skill	On submission, if there is a same-suit card later down the stack, gain a point for each card in between.
gam draft.txt:72	Double trigger seal	stamp	Seal: this card's effect triggers twice.
gam draft.txt:73	Trigger when hidden seal	stamp	Seal: this card's effect triggers even when hidden (covered).
gam draft.txt:74	Trigger in deck seal	stamp	Seal: this card's effect can trigger while still in the deck.
gam draft.txt:75	Money on trigger seal	stamp	Seal: gain money whenever this card's effect triggers.
gam draft.txt:79	Heavy material	type	Heavy card type sinks to the bottom of the deck.
gam draft.txt:80	Light material	type	Light card type rises to the top of the deck.
gam draft.txt:81	Elemental materials	type	Elemental card materials: Earth, Air, Water, Fire.
gam draft.txt:86	No submit slot, whole board scores	rule	There is no special submit slot; the entire board is considered for submission on final score, using entrance cards similar to jokers.
gam draft.txt:87	Draw-through then submit	rule	Constantly draw through the deck like classic solitaire, then submit to evaluate the entire board state and reset.
gam draft.txt:90	5-wide board for row hands	rule	A 5-column-wide board allows row-wide poker hands as well as column hands.
gam draft.txt:93	Legal stacks only, harder over time	rule	Only legal stacks can be picked up, and moving stacks becomes more difficult with time.
gam draft.txt:96	15 as rank via ability only	rule	Rank 15 is too hard to visually read and should only exist via an ability, not as a default rank.
gam draft.txt:99	Base scoring: vertical runs + horizontal poker	rule	Base scoring is vertical runs (with a minimum size) plus horizontal poker hands.
gam draft.txt:102	Elemental movement types	type	Elemental card types have custom movement, such as always staying on top or bottom of a stack.
gam draft.txt:105	Match end condition	rule	Match ends when the deck runs out of cards or the required score is reached.
gam draft.txt:108	Submit clears and cascades board	rule	Pressing submit scores everything and clears the board, with upper cards coming down to start a new board state without a full wipe.
gam draft.txt:111	Legal stack ascending/descending, no same suit	rule	Legal stacks are ascending or descending rank order and cannot stack same suit.
gam draft.txt:114	Vertical poker hands ability	skill	Ability that makes poker hands also considered vertically (columns), not just rows.
gam draft.txt:117	Cards auto-drop, no manual drag down	rule	Cards come down on their own and cannot be dragged down manually.
gam draft.txt:120	Row-then-column top-down scoring order	rule	Submission evaluates top-down, one row at a time and 5 cards at a time, so poker hands score first while runs are calculated per column simultaneously.
gam draft.txt:124	Multiply vertical by horizontal	rule	All vertical scores are multiplied together with all horizontal scores at the end.
gam draft.txt:130	Effect trigger order	rule	Card effects trigger in order: field effects, then deck top-down (soon-to-be-drawn first, order hidden), then left-right top-down including entrance, then discard pile top-down (recent discards first).
gam draft.txt:135	Row-first then simultaneous column scoring	rule	All row scoring happens first, then all 5 lanes are scored simultaneously with the same per-row scoring repeated for each column, returning scored cards that go through the card-effect loop and get elevated.
gam draft.txt:146	Triangle map tier choice	map	Choose from the next 3 card options, moving the player up a tier of a triangle-shaped map and playing a match, repeating.
gam draft.txt:147	Lane loss on lateral movement	map	Moving to the left lane permanently loses access to both right lanes; moving to the middle lane loses both left and right lanes.
gam draft.txt:148	Boss phase every few rows	boss	Every few rows of the triangle map is a boss phase, visually designed to look like terrain.
gam draft.txt:149	Fights only on boss phases	map	Fights may be restricted to only happen on boss phases of the map.
gam draft.txt:158	Poker card (5-card window)	skill	When this card is scored, it and the 4 cards above it are scored together as a poker hand.
gam draft.txt:159	Every 5 cards per column scores	skill	Every 5 cards in a column are scored as a poker hand.
gam draft.txt:160	Spiderweb card	skill	Spiderweb: scores 1 point per card diagonal to this card, in a cross shape.
gam draft.txt:180	Guarantee early entrance cards	rule	Some way to guarantee that newly chosen cards show up first, or sooner, in the entrance.
gam draft.txt:186	Null cards	type	Null cards take up space on the board and are highlighted on hover to show over the null space.
gam draft.txt:217	Hidden trigger stamp	stamp	Hidden trigger: ability activates even when the card is hidden (covered), unlike default active abilities that need visibility.
gam draft.txt:221	Only first poker hand scores	rule	Make it so only the first scored poker hand actually scores, ignoring later poker hands in the same evaluation.
gam draft.txt:223	Any card placeable on this card	skill	Card ability: any card can be placed on top of this card, modifying stacking rules.
gam draft.txt:230	Every 5th row red	rule	Every 5 rows, make that row red (visual scoring marker/threshold).
gam draft.txt:231	Points increase by layer	rule	Points scored increase based on the layer/height a card is stacked at.
gam draft.txt:233	Check scoring in deck/discard	rule	Scoring should also check cards sitting in the deck and discard pile, not just the board.
gam draft.txt:234	Add all cards to map	map	Add all cards to the map (as collectibles/nodes), not just special ones.
gam draft.txt:242	Self-upgrading effect	skill	An effect that upgrades itself into a better version of itself if the player meets certain conditions.
gam draft.txt:259	Pip effects permanently active	rule	Pip effects (suit/rank abilities) should be permanently active, independent of the resolver class.
gam draft.txt:260	Wild pip tracks previous pip	suit	A Wild pip type tracks and mimics whichever pip it last resolved to.
gam draft.txt:261	Wild pip random selection	suit	Wild pip randomly chooses itself from among existing pips on the same board/row/column.
gam draft.txt:270	Reveal-all active ability button	view	QOL: a half-open-eye button that opens fully, causing all cards with an eye stamp (or always-active cards) to push cards stacked on top downward so the active card is fully visible.
gam draft.txt:272	Compress-board button	view	QOL: a compress-all-cards button converts the board into a flavorless sheet showing only pips and bright ability names (dimmed if inactive), maximizing readability.
gam draft.txt:275	Exchange Voucher card	consumable	Exchange Voucher: a special deck card usable to swap itself with any card currently on screen.
gam draft.txt:276	Buttons and shops as cards	meta	All buttons should themselves be cards; e.g. a shop reroll is itself a tappable card on the board.
gam draft.txt:285	Sin of Gluttony card	skill	Sin of Gluttony: a Hippo-type card with no value cap that can be fed from anywhere, including decks, permanently consuming cards without returning them.
gam draft.txt:288	Uniqueness multiplier	rule	A multiplier that increases with every unique effect triggered during a run.
gam draft.txt:294	Hidden Rules Deck	rule	A normally-hidden 'Rules' deck holds the cards that define the default rule set (stacking, scoring, etc.); changing the rules means changing cards in this deck.
gam draft.txt:300	Metagame editing ruleset deck	meta	Metagame where the player tries to modify the default ruleset deck during a run by adding or removing rule cards.
gam draft.txt:301	Boss debuffs as ruleset cards	boss	Negative boss-battle effects are temporary cards added to the ruleset deck, defined to self-destruct after the game/act.
gam draft.txt:304	Label/Evident rule-visibility card	skill	A 'Label/Evident' type card announces its ruleset-deck effect as an active effect on the board even when the universal/rules deck itself is not visible.
gam draft.txt:307	Rule cards have random suit/rank	rule	Rule-deck cards carry a random suit and rank in case the player is able to extract them onto the playing field.
gam draft.txt:310	Decks as playable solitaire boards (vetoed)	map	Considered (then vetoed) making every deck its own playable solitaire board so players could reorder or extract cards from it.
gam draft.txt:315	Cards have 1 parent/1 child stack	rule	Cards can have exactly 1 parent and 1 child card, forming a stack.
gam draft.txt:316	Board has deck/discard/ruleset zones	rule	The board has a deck zone, a discard deck zone, and a ruleset deck zone.
gam draft.txt:317	Ruleset deck parsed at game creation	rule	On game creation, the ruleset deck is parsed to decide the board layout.
gam draft.txt:321	Entrance cards act via ability	rule	Entrance/input cards get their draw-and-pass functionality implemented as an ability: on turn start, pass child cards to the board card in the same column, then draw a random card from the deck.
gam draft.txt:324	Dynamic input/board card count from rules	rule	The number of input cards and board cards is decided dynamically at game creation by iterating the rule deck (e.g. a rule dictating 5 input columns and 5 board columns).
gam draft.txt:328	Tap-to-force-trigger card	skill	A card that can force a linked on-trigger card to fire whenever it is tapped, likely via stacking.
gam draft.txt:331	Unlockable ruleset card packs	meta	A ruleset card pack that can be unlocked, allowing cards that change fundamental rules of the game.
gam draft.txt:335	Vampire Survivors-style prestige shop	meta	Prestige points system: each win grants points spendable in a menu to change the odds of cards appearing or to apply debuffs for more points.
gam draft.txt:342	Eye stamp shows mini skill art	stamp	Eye stamp allows a card to stay active despite being covered, showing a miniature version of the skill art inside the stamp.
gam draft.txt:345	Rules-in-main-deck variant	meta	A deck variant where the rule deck is empty and all rules are embedded as cards in the main deck.
gam draft.txt:350	Triangle map holes hold card packs	map	The triangle map can have holes that contain card packs instead of individual cards.
gam draft.txt:354	Rarity affects card borders/shine	view	Rarer cards could have different borders and shine/holographic effects.
gam draft.txt:357	Power-sorted rarity tiers	meta	Create common base effects, then progressively stronger versions of those effects as separate, rarer cards; rarity is determined by how far a card climbs the effect-value ladder.
gam draft.txt:360	Shop buy/sell in cards	meta	Shop sells cards priced in a stack of cards taken from the player's deck (equivalent value); card packs on the map add cards while the shop removes them; shop can sell packs too; reroll cost increases each use.
gam draft.txt:368	Card unlocks: action-based and score-based	meta	Dual unlock system: some cards unlock from specific in-game actions, others from reaching score/win thresholds; common cards from generic progress, rare cards from genre-specific play.
gam draft.txt:369	Prestige system reshapes map odds	meta	Prestige currency from wins can be spent to manipulate the odds of cards/events spawning on the map, or to unlock true-vision (seeing the rule deck and true card descriptions).
gam draft.txt:370	Deck unlocks combined with gimmick runs	meta	Deck unlocks (Balatro-style) combined with gimmick-run variants instead of a separate tab.
gam draft.txt:371	Ascension debuff cards	meta	Ascensions: each ascension level adds a chosen negative-effect card to the deck or rules deck, including permanent versions of boss environmental hazards.
gam draft.txt:375	Eye of God card	consumable	Eye of God: allows seeing all decks and true (unobscured) card descriptions.
gam draft.txt:376	Hand of God card	consumable	Hand of God: allows moving cards to any location on the board and reordering cards within a deck.
gam draft.txt:377	Foot of God card	consumable	Foot of God: can switch locations with any card on screen.
gam draft.txt:388	Score as damage vs antagonist	boss	Recontextualize the points system as damage dealt against an antagonist, similar to Slay the Spire enemy health.
gam draft.txt:389	Combo increments per unique effect	rule	Row/column scoring becomes a combo system: score increments by 1 for each unique effect triggered, with heavier emphasis on card effects that do direct damage under specific conditions.
gam draft.txt:390	Flat points multiplied by combo	rule	Flat points come from scoring, while row combo and column combo values are multiplied into the flat points.
gam draft.txt:393	Avalanche card	skill	Avalanche: after scoring all cards on the board, attack the scoreboard, reducing the goal score by the number of cards scored.
gam draft.txt:406	Status effect array on cards	rule	Cards carry a status array (dictionary of status-effect name to value) processed by a rule card each turn.
gam draft.txt:423	Effect art pops up on trigger	view	When an effect plays, its art pops up on screen in the background as if it is being performed.
gam draft.txt:426	Grand Entrance / The Ring zones	rule	Circus rename: upper and lower play zones become 'Grand Entrance' and 'The Ring'.
gam draft.txt:427	Performers and Feats rename	rule	Circus rename: cards are 'performers'; skills are 'feats'.
gam draft.txt:428	Tips for overscoring	meta	Scoring is themed as audience excitement with cheering; player gains 'tips' currency for overscoring, playing as the Ringmaster.
gam draft.txt:429	Circus suits, rank cap question	suit	Suits become clowns/dancers/flames/juggling balls/hoops/knives; aces are the actual performers; considering capping rank at 10.
gam draft.txt:434	Performance ring score multiplier	rule	Each 'ring' of 5 rows increases the score multiplier for cards scored within it (1st ring 1x, 2nd ring 2x, 3rd ring 3x, etc.).
gam draft.txt:437	3 submits as 3 acts	rule	3 submits per match could reference 3 performance acts.
gam draft.txt:440	Leader/champion cards	skill	Leader/champion cards start the game already on the board (or entrance) and do not leave on submit.
gam draft.txt:441	Ringmaster leader card	skill	Ringmaster: no suit/rank; type makes it start in the entrance like other leaders; stamp lets it always be picked up and placed anywhere with nothing on top; skill keeps it on the board after submission.
gam draft.txt:442	Leader flavor debuffs	skill	Optional leader debuffs, e.g. fear of fire/knives preventing placement on fire/knife cards.
gam draft.txt:444	Magician leader archetype	skill	Magician leader archetype: focuses on card creation and deletion.
gam draft.txt:445	Acrobatics leader archetype	skill	Acrobatics leader archetype: focuses on card movement.
