id,name,reason,folded_into,origin,source,original_mechanic
E0008,Balls,ALREADY_A_RULE,,catalog,CARD_CATALOG,"Ball props arc down the column, picking talent targets at spawn, and apply the Juggling status; a Juggling card pays out its column score when it later scores."
E0025,Column Poker,ALREADY_A_RULE,,catalog,CARD_CATALOG,"While spotlit, every full 5-card band of this card's column is evaluated as a poker hand at scoring."
E0053,Flames,ALREADY_A_RULE,,catalog,CARD_CATALOG,"Fire props arc down the column applying Burning; a Burning card's suit effect fires with multiplied prop count, and fire cascades can chain within the same act."
E0082,Hoops,ALREADY_A_RULE,,catalog,CARD_CATALOG,"When a Hoops card scores, hoop props sweep the scored row and re-score every skill card they pass through; talented spawners suppress their own suit effect."
E0099,Knives,ALREADY_A_RULE,,catalog,CARD_CATALOG,Knife props launch from the opposite row edge and score plain non-skill prop cards they pass; the spawner also scores itself.
E0134,Poker Evaluator,ALREADY_A_RULE,,catalog,CARD_CATALOG,Evaluates each scored line for its best poker hand; only the best poker hand per line pays.
E0162,Symmetrical Show,ALREADY_A_RULE,,catalog,CARD_CATALOG,Poker hands are also evaluated on columns in addition to rows.
E0380,3 submits per match,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §2 Core Game Loop refinements,A match consists of 3 submits ('acts'); winning/losing is decided after the 3rd.
E0381,5-column board,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §3 Board & Zones,Board is 5 columns wide so a full row forms a 5-card poker hand.
E0386,All-revealed-trigger (earliest),ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §7 Spotlight System,Earliest rule: all revealed cards perform their abilities unconditionally.
E0397,Ball = Juggling status,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §10 Suit-Props (implemented),"Ball drops a Juggling status, which pays out column score when that card later scores."
E0401,Base four suits,ALREADY_A_RULE,,designdocs,DESIGN_RECOMMENDATIONS.md §2.4 Suits: 4 + specials,"Standardize on 4 base suits (Knives, Hoops, Balls, Flames) instead of 6, mapping 1:1 to projectile mechanics."
E0407,Board/deck contract,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §6 Card Anatomy & Pips,"The game has a board with 2 zones, a draw deck, a discard deck, and a hidden rule-set deck, which is parsed at game creation to decide board layout."
E0430,Card anatomy contract,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §6 Card Anatomy & Pips,"Every card has a suit, a rank, a stamp slot, a skill slot, and a card type; cards can have 1 parent and 1 child (a stack)."
E0436,Cards enter only via drop,ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §2 Core Game Loop v2 (latest),Cards enter play by dropping automatically from the input row; they cannot be dragged down manually.
E0459,Column Poker (unnamed),ALREADY_A_RULE,,designdocs,DESIGN_DOC.md §14.1 Skills/Feats,Every 5 cards per column are scored as a poker hand.
