MOD	Rolatro	61	1	Roblox-themed content pack (68 jokers, tarots, decks, seals, vouchers); mostly reskinned vanilla shapes
C	Rolatro	Egg Timer (Catalog Expansion)	+0 Mult; Mult is equal to the current seconds of the current minute	a skill card's payout is keyed to real-world wall-clock time rather than any game state	M6	skill
MOD	Rolatro: Catalog Expansion Pack	20	0	24 jokers, mostly numeric variants of scored-card suit/rank bonuses; nothing shape-novel
MOD	Royal Family	17	1	adds 10 new face ranks and 2 straight-flush-based hands with face cards, inserted into rank order
B	Royal Family	Lineage / Royal Family hands	5 cards in a row, consecutive ranks, all face cards (new rank order with inserted face ranks)	a new completed-line detector requires the line's ranks to be consecutive AND all be face-type, using an extended rank order with extra face values spliced between existing ranks	B1	hand
MOD	Royal Gallery	44	4	vanilla-oriented content mod, 44 jokers, mostly numeric reskins; a few order/position-reading effects
C	Royal Gallery	Rule No.4	The fourth scored card gives the total +Chips and +Mult of all previously scored card this hand	a skill keyed to a card's ordinal position within the completing line banks and re-grants the sum of every card scored before it in that line	C12	skill
C	Royal Gallery	Conversion Chart	When a hand is played, convert the scored cards' Chips to Mult and Mult to Chips	on a completed line, every card's flat-points and multiplier values are swapped with each other	A1	skill
C	Royal Gallery	Cutouts	When a hand is played, destroy the highest and lowest ranked cards played, gaining mult per card destroyed this way	on line completion the highest-rank and lowest-rank card in the line are removed from the board, and a skill card banks a permanent bonus per card removed this way	G4	skill
C	Royal Gallery	Mountainside	Stone Card (no rank/suit) counts as whichever rank/suit there is most of in the deck	a rankless/suitless card's identity is resolved dynamically to match whichever rank or suit is currently most common on the board or in the remaining stock	V6	type
MOD	Sagatro	0	0	149-joker fairy-tale story-mode overhaul; batch carries only the mod's own promotional README, no effect rows to judge
MOD	Sarcpot	21	1	21 jokers themed on queer identities/indie games, mostly numeric scored-card bonuses
C	Sarcpot	Strange Fluid	Effect changes based on whether Discards are higher than, equal to, or lower than Hands played this run	a skill card's active mode is chosen by comparing two running run-long counters (times a resource was spent vs times another was spent) rather than any board state	I4	skill
MOD	Sculio	26	3	vanilla-esque content mod, 26 jokers; several read positional/relative rules
C	Sculio	Refrigerator	Jokers with limited uses placed to the right of this Joker do not lose potency or expire	a skill card halts decay/charge-drain on skill cards positioned after it along a line, rather than buffing their output	I5	skill
C	Sculio	Rorschach	Cards discarded during the first discard of a round, while this is the rightmost Joker, will be drawn first next round	discarding a card while a specific skill card is spotlit tags that card to re-enter the Entrance first on the next refill, reordering deck-return order	F4	skill
C	Sculio	Red Dragon	Gains chips if the hand played contains an even number of cards and exactly half of them are ranked below 7	a skill's payout is gated on a parity check of the completed line's card count combined with a threshold count of low-rank cards among them	A7	skill
MOD	SDM 0's Stuff	37	1	37 jokers/9 decks mod; mostly numeric variants and standard resource-economy hooks
C	SDM 0's Stuff	Magic Hands	×3 mult if the scored poker hand's most frequent rank count exactly equals the number of hands left before the round's play limit	a skill's trigger compares the completed line's most-frequent-rank count against a remaining-turn-resource counter, so the payout depends on two unrelated numbers matching	A7	skill
MOD	Seals On Everything	1	1	stub mod that generalizes seals onto non-playing-card objects; boss blind and enhancement rows already covered
R	Seals On Everything	The Seal (boss blind)	All cards are face down; seals (normally hidden markings) show on the back of face-down cards during this round	a hazard flips every card on the board face-down for the show, but a card's stamp becomes visible on its hidden back, giving a partial-information counterplay	M3	hazard
MOD	Severed	5	1	Severance-TV-themed content mod, 34 jokers plus card-split/merge consumables
G	Severed	Reintegration / Severance	Combines 2 number cards by adding their ranks and picking one of the suits; Severance splits 1 card into two by randomly dividing its rank	a consumable merges two placed cards into one card whose rank is the sum of the originals, and a counterpart consumable splits one card's rank into two new cards	D8	consumable
MOD	Shenanigans's Decks	17	1	deck-variant pack, 17 decks plus matching sleeves; mostly standard deck-modifier shapes
P	Shenanigans's Decks	Freaky Deck	Each skill card is secretly tagged 6 or 9 on creation; during scoring, a 9-tagged card positioned after (to the right of) a 6-tagged card grants bonus mult before other effects	every skill card is silently assigned one of two hidden tags at creation, and a bonus fires when a tagged pair appears in a specific relative order along a completed line	C12	skill
MOD	Shimmerberry	110	4	large vanilla-like expansion: 110 jokers, boss blinds, consumables, editions; most jokers are numeric reskins
R	Shimmerberry	The Ghost Phanta (boss blind)	At the start of the round, increase Blind Size by 25% for each skill card the player owns	a hazard's scoring requirement scales up dynamically with the number of skill cards currently on the board, punishing a board full of skills rather than any card property	R6	hazard
Q	Shimmerberry	Parking Disc	Effect changes each round, with a bonus effect during boss rounds (12 total states, 4 bonus states)	a skill card cycles through a long fixed sequence of different effects, one per show, with an extra alternate effect that only applies during hazard shows	I4	skill
C	Shimmerberry	Perfect Pitch	×2 mult when scoring exactly a randomly-set target number of cards (1-5, changes each hand); gains a permanent bonus after 5 consecutive hands hitting that target	a skill re-rolls a target line-length each show and rewards completing a line of exactly that length, banking a permanent bonus after a streak of hits	A7	skill
C	Shimmerberry	Doomsday Device	Doubles a stored value every 12 scoring type-matching cards	a skill counts cumulative type-matching cards scored across the whole run and doubles a banked multiplier every time the count crosses a fixed threshold	I4	skill
