eid	verdict	drop_reason	class	slot	mechanic_grid	upgrade_of
E0001	KEEP		H1	skill	Cue: copy any spotlit card's skill; track total copies across the run, and at 72 total copies this card permanently upgrades to Legendary stats.	
E0002	KEEP		D5	type	Whenever this card's stack changes, it automatically moves to the top of that stack.	
E0003	KEEP		I12	stamp	This card is immune to hazard effects that target rows or the floor.	
E0004	KEEP		K5	rule	Each show, patience starts at N; each pickup or placement spends 1 patience, a unique effect trigger refunds 1; at 0 patience the Entrance auto-commits.	
E0005	KEEP		H6	type	On every Entrance refresh, automatically performs this card's cue for free; it can never be triggered manually.	
E0006	KEEP		R6	skill	After scoring, reduce the show's score goal by the number of cards currently placed on the grid.	
E0007	KEEP		P6	type	At the start of each show, this card is assigned a random different class (seeded), and counts for that class's synergy effects for the show.	
E0008	DROP	ALREADY_A_RULE				
E0009	KEEP		M2	stamp	This card's rarity and identity are hidden from inspection effects until it scores.	
E0010	KEEP		G5	skill	Cue: instantly swap this card's rank and suit with an adjacent card's.	
E0011	KEEP		E3	skill	Once per show: shift an entire row one column left or right, wrapping around the grid edge.	
E0012	KEEP		F5	rule	At show start and each Entrance refresh, a random seeded card is discarded from the Entrance.	
E0013	KEEP		F1	skill	Cue: this turn, the Entrance refills from the bottom of the deck instead of the top.	
E0014	KEEP		G11	stamp	Whenever this card's effects trigger, mint a Gold token card onto the top of the deck.	
E0015	KEEP		E5	rule	A token rotates one column per turn; if that column scores while the token is on it, the meld pays double and a Ticket Stub is banked.	
E0016	KEEP		L9	skill	Banks fame each show for an unearned stunt; if ever exposed by an inspection effect, loses double everything banked.	
E0017	KEEP		G8	skill	Cue: remove a card from the game for 2 shows; it returns upgraded one rarity, with a seeded chance it does not return.	
E0018	KEEP		I12	type	The first debuff or status applied to this card each show is discarded.	
E0019	KEEP		H8	rule	On Submit, scores all rows first, then all columns simultaneously per row band.	
E0020	KEEP		I4	skill	If the show is won with cards still in the deck, every remaining deck card gains +1 rank permanently.	
E0021	KEEP		R6	consumable	Consumable: the next town's fame requirement drops 15%.	
E0022	KEEP		V6	skill	Counts as a copy of its highest orthogonally-adjacent neighbor's rank; with no neighbors, its rank is 1.	
E0023	KEEP		F6	skill	On Entrance refresh, adds one extra card into this card's column, plus one more per Clown-class card scored last submit.	
E0024	KEEP		E2	skill	Cue: swaps positions with the single card covering it.	
E0025	DROP	ALREADY_A_RULE				
E0026	KEEP		J5	skill	While in the deck, doubles the odds of Rare cards appearing in packs and shops.	
E0027	KEEP		L4	stamp	Scores +X points per show it is played; if benched two shows in a row, it is permanently removed from the deck.	
E0028	KEEP		G5	skill	Cue: target card's suit becomes Balls; if that completes a flush row, gain bonus multiplier immediately.	
E0029	KEEP		B8	rule	Hidden rule: scoring two pair, Aces over Eights, in one row pays a jackpot and triggers a map event.	
E0030	KEEP		G10	skill	Once per show, when one of your cards is destroyed, restore it to the discard pile instead.	
E0031	KEEP		L5	consumable	Consumable, once per run: when a show is lost, it is instead won at exactly the goal.	
E0032	KEEP		E5	skill	Every Entrance refresh, alternates between two adjacent columns, granting bonus points to the top card of the column it leaves.	
E0033	KEEP		I12	type	This card cannot be discarded from the grid by any effect.	
E0034	KEEP		A5	stamp	All of this card's effects trigger twice, once per scoring pass.	
E0035	KEEP		A13	skill	The last meld scored each act gets a bonus multiplier.	
E0036	KEEP		H7	skill	When an act scores 5 or more distinct combo classes and every meld that act raised the combo, triples the act's payout.	
E0037	KEEP		D5	type	Whenever this card's stack changes, it automatically sinks to the bottom of that stack, carrying its stamp with it.	
E0038	KEEP		A5	skill	All triggers on the grid repeat once, per card, per scoring pass.	
E0039	KEEP		D7	skill	Cue: permanently destroy one Knives-suit card and add its rank to this card's own, forever.	
E0040	KEEP		Q2	suit	When this card scores, an arc prop hops card-to-card through orthogonally adjacent cards, adding points per link, until it reaches a gap.	
E0041	DROP	RESKIN:E0026				
E0042	KEEP		C13	skill	When the grid's column heights read the same left-to-right as right-to-left at scoring, gain bonus multiplier on the act.	
E0043	DROP	DUPLICATE:E0058				
E0044	KEEP		A1	skill	Gain extra flat points on score (+10).	
E0045	KEEP		M1	skill	Reveals all decks (including draw order), the hidden rules deck, and the true identity of every card, including fakes.	
E0046	KEEP		C10	skill	When scored, gives +1 rank to all orthogonally adjacent cards for the rest of the show.	
E0047	KEEP		F1	type	After every shuffle, this card sinks below all non-Heavy cards and only enters play after the rest of the deck is drawn; scores a bonus multiplier as the closer.	
E0048	KEEP		R1	rule	Town rule: Flames-suit effects score nothing here, and Burning statuses do not multiply.	
E0049	KEEP		Q2	suit	When this card scores, its rocket prop rises up the column and banks the column's score directly.	
E0050	KEEP		F1	type	After every shuffle, this card moves to the top of the deck and enters play alone before any other card that refresh.	
E0051	KEEP		I4	skill	A random Common card that permanently upgrades to its Rare version after scoring 10 times across the run.	
E0052	KEEP		I7	skill	Gains bonus points for each consecutive show it ends as the top card of the same column; any move resets the streak to zero.	
E0053	DROP	ALREADY_A_RULE				
E0054	KEEP		A7	type	The first time this card would score each show it scores triple; every later score that show is zero.	
E0055	KEEP		F5	skill	Cue, once per show: deploy the entire Entrance onto the grid in one action, columns assigned left-to-right automatically.	
E0056	KEEP		A12	skill	When scored, counts as five rank-1 cards for combo-counting purposes (not points).	
E0057	KEEP		H9	skill	While spotlit, choose one rule card in the hidden rules deck whose effect is ignored.	
E0058	KEEP		E2	skill	Cue: this card switches locations with any card on screen (grid, Entrance, or decks).	
E0059	KEEP		D8	skill	On submit, merges with the cards directly above and below it into one 3-card stack of summed rank that stays in the zone after scoring.	
E0060	KEEP		K2	rule	Grants one free undo per turn that does not carry over.	
E0061	KEEP		G3	consumable	Consumable: choose any card in your deck and create a full copy of it in the Entrance for this show, which becomes permanent in the deck afterward.	
E0062	KEEP		D6	stamp	This card does not block the Spotlight of cards beneath it; they stay active as if uncovered.	
E0063	KEEP		I5	type	Scores double points, and is destroyed permanently after its third score.	
E0064	KEEP		D6	stamp	This card's modifiers are active from anywhere: grid, Entrance, deck, or discard.	
E0065	KEEP		J1	suit	This suit's cards count as currency at full trade value in shops; when one scores, it mints a Heavy Gold token card to the deck bottom.	
E0066	KEEP		G11	skill	Money token: full trade value at shops, always sinks to the deck bottom, and scores 0 in melds.	
E0067	KEEP		K9	consumable	Consumable, once per run: skips one town's requirement entirely for an instant win with full rewards.	E0127
E0068	KEEP		A12	skill	If all columns scored a meld this act, doubles the act's combo multiplier.	
E0069	KEEP		M2	skill	Cue, once per show: hide an entire column so it cannot be seen, targeted, scored, or touched for one turn; it then returns with bonus points on every card.	
E0070	KEEP		P6	stamp	This card counts as a Clown-class card in addition to its own class.	
E0071	KEEP		A9	skill	Each act this card would score, it instead hops one column away and banks the points; when it has no legal hop left, it scores everything banked at once.	
E0072	KEEP		V3	stamp	This card has rank N and a half, letting it stack legally between rank N and N+1 in runs, but it never participates in poker melds.	
E0073	KEEP		G1	rule	Boss: duplicates the grid's reflection with fake copies of your cards interleaved into rows; they score 0.	
E0074	KEEP		V6	skill	When a town outlaws a suit, all your cards of that suit count as the suit of the adjacent card for that show.	
E0075	KEEP		E2	skill	Cue: move any card to any grid location ignoring legality, or reorder the cards inside any deck.	E0058
E0076	KEEP		V4	suit	This card counts as both of its printed suits for every comparison, meld, and suit effect, firing both suits' props.	
E0077	KEEP		F1	type	After any shuffle or return to deck, this card sinks to the deck bottom.	
E0078	KEEP		F1	type	After any shuffle or return to deck, this card rises to the top and is always the first card drawn on refresh.	
E0079	KEEP		R9	rule	Boss: each submit, every card in the rightmost column gets Exhausted unless an Escape Artist-class card stands in that column.	
E0080	KEEP		G5	skill	On scoring, swaps this card's stamp with any stamp held in reserve.	
E0081	DROP	NO_MECHANIC				
E0082	DROP	ALREADY_A_RULE				
E0083	DROP	RESKIN:E0048				
E0084	KEEP		E1	skill	Cue, 1 charge per show: jumps this card's entire stack one row upward in its column, sliding everything beneath up.	
E0085	KEEP		E2	skill	Cue: fire the bottom card of any column to the top of any other column.	
E0086	KEEP		D6	skill	While covered, counts as a copy of the most valuable card in its row; when uncovered, is revealed as junk (rank 2, base score only).	
E0087	KEEP		D7	skill	Consumes cards dropped onto it, adding their rank to its own up to a cap of 13, and returns everything eaten at show end.	
E0088	KEEP		S9	consumable	Consumable: doubles the next show's fame requirement, in exchange for its rewards scaling up two tiers.	
E0089	KEEP		O4	rule	One per column: on Entrance refresh, drops its upper-zone stack into the paired grid column, then draws a card from the deck to refill.	
E0090	KEEP		I12	stamp	Immune to the first destruction or debuff that targets this card each show.	
