qid	cls	verdict	note
Q0152	C1	OK	names all four live line kinds
Q0153	C1	OK	self-overturned for consistency with Q0331/Q0362 - a RULE card proposing that a scored line empties is a legal override, not an assumption that the board clears itself
Q0154	C1	ALREADY	FIXED - option (a) reworded as the keep-the-default choice; (b) and (c) are real additions
Q0155	C1	OK	a diagonal is only a line at FULL length today, so sub-length diagonals genuinely add
Q0156	C2	OK	new geometry, no live equivalent
Q0157	C2	STALE	new geometry | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0158	C2	OK	multi-meld membership is a known deferred space; ScoringSection's own TODO names this card
Q0159	C2	DUPLICATE	RETIRED IN PLACE - same space as Q0155
Q0160	C3	OK	modifies a real live behaviour - there is no line-scored memory, so disturbance already re-scores
Q0161	C3	OK	self-overturned - as a rule card it composes with stack compaction: remove a scored line and the cards stacked above drop, which can complete lines at the lower height
Q0162	C3	ALREADY	FIXED - option (c) reworded as the keep-the-default choice
Q0163	C3	OK	swapping a placed card for an Entrance card is a real new power
Q0164	C4	OK	movement between cells exists (move_card_in_grid)
Q0165	C4	DUPLICATE	RETIRED IN PLACE - superseded by the board plan; asked as Y13 (The Ranked Floor, as a mark)
Q0166	C4	OK	self-overturned - a reserve holds cards YOU put there and is never fed by the deck, which is exactly how it differs from the Entrance
Q0167	C4	OK	self-overturned - Sawdust marks a cell dynamically, mid-show, when a card leaves; the board plan is dealt at show start. Different space
Q0168	C4	OK	a SHAPE requirement is genuinely not a mark, which is a card requirement
Q0169	C4	OK	a moving card leaving a trail; distinct from a dealt plan
Q0170	C4	DUPLICATE	RETIRED IN PLACE - this IS the board plan
Q0171	C4	DUPLICATE	RETIRED IN PLACE - a mark; asked as Y13 (Dress Code, as a mark)
Q0172	C4	OK	creating a cell is a legal board change
Q0173	C5	RESCOPE	RETIRED IN PLACE - a map idea that replaces the grid and Entrance; its board form is Q0174, its hidden-board form Y11
Q0174	C5	OK	fits C5 as re-scoped - what a level puts in a cell instead of your plan
Q0175	C5	OK	a junk type filling a cell
Q0176	C5	OK	an off-grid cell is a legal board change
Q0177	C6	OK	a grid's shape may change under an effect; GameData is keyed to survive it
Q0178	C6	OK	legal as an effect, though Q0078 keeps ragged grids to tests in the board-plan scope
Q0179	C6	OK	splitting and merging columns
Q0180	C6	RESCOPE	FIXED - the floors are now the grid's stack heights
Q0181	C6	DUPLICATE	RETIRED IN PLACE - the Entrance itself
Q0182	C6	OK	uneven line lengths
Q0183	C7	OK	height already pushes rows apart; this is the cross-grid setting for it
Q0184	C7	OK	lines never cross a grid boundary today, so a rule card that lets them is a real override
Q0185	C7	OK	the column axis of Q0184's space, distinct enough to keep
Q0186	C7	DUPLICATE	RETIRED IN PLACE - same space as Q0184
Q0187	C8	OK	closing a grid
Q0188	C8	OK	grid_max_count ships at 3, so a fourth is a real override - the note should say it raises the cap
Q0189	C8	OK	merging grids
Q0190	C8	STALE	FIXED - twenty-five cards per grid is now fifty-two in all three options
Q0191	C9	OK	overrides the committed-grid rule, which is what a rule card is for
Q0192	C9	ALREADY	FIXED - the Entrance now stays committed for the WHOLE SHOW rather than lifting, which is a real change to the commit rule
Q0193	C9	STALE	relaxing the commit rule is a real change | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0194	C9	OK	cross-grid effect triggering
Q0195	C10	OK	adjacency rank buff
Q0196	C10	OK	reachable through forced_spotlight, the same surface the scoring beam uses
Q0197	C10	OK	
Q0198	C10	OK	
Q0199	C10	OK	
Q0200	C10	OK	
Q0201	C10	OK	
Q0202	C10	OK	multi-meld membership; ScoringSection's TODO names this card. Distinct reach from Q0158
Q0203	C10	OK	
Q0204	C10	OK	
Q0205	C10	OK	the plus-and-minus variant of Q0195's space; thin but distinct
Q0206	C11	OK	a card occupies ONE cell in the data model, so a footprint is a real architectural addition - worth saying so on the line
Q0207	C11	OK	a rule card replacing lines with regions is legal design space
Q0208	C11	DUPLICATE	RETIRED IN PLACE - same space as Q0206
Q0209	C11	OK	
Q0210	C12	STALE	FIXED - "a line of exactly three cards" is now "a three of a kind"
Q0211	C12	RESCOPE	FIXED - rows 6-15 re-expressed as stack heights in (a) and (b)
Q0212	C12	OK	adding a grid column is supported
Q0213	C12	OK	stack-relative counting
Q0214	C13	OK	column heights; height is live
Q0215	C13	OK	row position semantics
Q0216	C13	OK	
Q0217	C13	OK	
Q0218	C13	OK	
Q0219	C13	OK	
Q0220	C13	OK	the tops of five columns is expressible as a collector, which ScoringSection is built for
Q0221	C13	OK	column-height formation
Q0222	C13	OK	
Q0223	C14	OK	a turn is a placement
Q0224	C14	STALE	FIXED - the first card of THIS SHOW; (c) now per Entrance refill
Q0225	C14	OK	
Q0226	C14	OK	
Q0227	C15	OK	
Q0228	C15	OK	adjacency across a grid seam; distinct from Q0184's line-crossing
Q0229	C15	OK	
Q0230	C15	OK	lines never wrap today, so a rule card that wraps them is a real override
Q0231	C15	OK	
Q0232	D1	STALE	FIXED - "five apart" on a 5-wide line; max separation is four. Now "at opposite ends of the line"
Q0233	D1	OK	
Q0235	D1	OK	
Q0236	D1	OK	
Q0237	D1	OK	
Q0238	D1	OK	
Q0239	D1	OK	
Q0240	D1	OK	
Q0241	D1	OK	
Q0242	D1	OK	
Q0243	D1	OK	
Q0244	D2	OK	
Q0245	D2	OK	
Q0246	D2	OK	
Q0247	D2	OK	
Q0248	D3	OK	
Q0249	D3	OK	
Q0250	D3	OK	
Q0251	D3	OK	subagent UNSURE, adjudicated OK - the no-line-scored-memory rule binds the LINE DETECTOR, not a skill's own once-per-show flag, which is ordinary state
Q0252	D3	OK	
Q0253	D3	OK	
Q0254	D4	OK	
Q0255	D4	ALREADY	FIXED - option (a) restated the shipped default. Reworded to say so, which turns it into a legitimate keep-the-default choice against (b) and (c)
Q0256	D4	OK	
Q0257	D4	OK	
Q0258	D5	OK	
Q0259	D5	OK	
Q0260	D5	OK	
Q0261	D5	OK	
Q0262	D5	OK	
Q0263	D5	OK	
Q0264	D5	OK	
Q0265	D6	OK	
Q0266	D6	OK	
Q0267	D6	OK	
Q0268	D6	OK	
Q0269	D6	OK	
Q0270	D6	OK	
Q0271	D6	OK	
Q0272	D6	OK	
Q0273	D6	OK	
Q0274	D6	OK	
Q0275	D6	OK	
Q0276	D6	OK	
Q0277	D6	OK	
Q0278	D6	OK	
Q0279	D6	OK	
Q0280	D7	OK	
Q0281	D7	OK	
Q0282	D7	OK	
Q0283	D7	OK	
Q0284	D7	OK	
Q0285	D7	OK	
Q0286	D7	OK	
Q0287	D7	OK	
Q0288	D7	OK	
Q0289	D7	OK	
Q0290	D7	OK	
Q0291	D8	OK	
Q0292	D8	STALE	FIXED at the ROOT CAUSE - "On submit" survived in batches/tagged01.tsv's mechanic_grid, a source file the sweep never patched. render.py prefers that column over corpus.tsv, so 32 questions kept retired wording while corpus.tsv read clean. retire.py now covers it; 38 further rewrites applied
Q0293	D8	OK	
Q0294	D8	OK	
Q0295	D9	OK	
Q0296	D9	OK	
Q0297	D9	OK	
Q0298	D9	OK	
Q0299	D9	OK	
Q0300	D9	OK	
Q0301	D10	RESCOPE	FIXED - "the height cap is lowered" had no baseline; stacks are unbounded today. Now "stack height is capped for this show, where it is normally unbounded"
Q0302	D10	RESCOPE	FIXED - same; now raises or removes a cap a LEVEL imposed, rather than a nonexistent default one
Q0303	D10	OK	
Q0304	D10	OK	
Q0305	E1	OK	
Q0306	E1	OK	
Q0307	E1	OK	
Q0308	E1	OK	
Q0309	E1	OK	
Q0310	E1	OK	
Q0311	E1	OK	
Q0312	E1	OK	
Q0313	E1	OK	
Q0314	E1	OK	
Q0315	E2	OK	
Q0316	E2	OK	
Q0317	E2	OK	
Q0318	E2	OK	
Q0319	E2	OK	
Q0320	E2	OK	
Q0321	E2	OK	
Q0322	E2	OK	
Q0323	E2	OK	
Q0324	E3	OK	subagent CONTRADICTS, overturned - the no-wrap rule governs LINES; this is a movement effect shifting a row, which may wrap
Q0325	E3	OK	
Q0326	E3	OK	
Q0327	E3	OK	
Q0328	E3	OK	
Q0329	E3	OK	
Q0330	E3	OK	
Q0331	E4	OK	subagent ALREADY, overturned - the shipped compaction is VERTICAL, within a cell's stack. Horizontal gap-closing along a line is new, and this rule card proposes it explicitly
Q0332	E4	OK	
Q0333	E4	OK	
Q0334	E4	OK	
Q0335	E5	OK	
Q0336	E5	OK	
Q0337	E5	OK	
Q0338	E5	OK	
Q0339	E5	OK	
Q0340	E5	OK	
Q0341	E5	OK	
Q0342	E5	OK	
Q0343	E5	OK	
Q0344	E5	OK	
Q0345	E5	OK	
Q0346	E5	OK	
Q0347	E6	OK	
Q0348	E6	OK	
Q0349	E6	OK	
Q0350	E6	OK	
Q0351	E7	OK	
Q0352	E7	OK	
Q0353	E7	OK	
Q0354	E7	OK	
Q0355	E7	ALREADY	FIXED - option (a) restated the shipped default that a placed card cannot be moved. Reworded to say so, making it a keep-the-default choice
Q0356	E7	OK	
Q0357	E7	OK	
Q0358	E8	OK	
Q0359	E8	OK	
Q0360	E8	RESCOPE	FIXED - "on the way to their columns"; an Entrance card goes to any cell, not to a column of its own. Now "the cells they are placed in"
Q0361	E8	OK	subagent CONTRADICTS, overturned - Fire and Knife ARE suits (PipSuitFire, PipSuitKnife), not only props
