seen?,name,historical_reference,card_art,rarity,cost,effect,pseudocode,groups,why_fun,balance,scope,axis,needs_height,needs_grids,status,source
Added,Hoops,"Chinese hoop diving; Astley's 42-foot ring, the circus circle itself",A flaming-edged wooden hoop frozen mid-flight above a row of leaping silhouettes,Common,1,"Base suit. When a Hoops card scores, hoop props sweep the scored row; every talent (skill) card a hoop passes through scores again. Talented spawners suppress their own suit effect.","# IMPLEMENTED: PipSuitHoop
class PipSuitHoop extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()  # route = scored row
    s.modifiers = [PropScoreTalents.new()]   # scores via game.add_line_score
    return [s]",suit;prop;combo,"Cards visibly jump through the hoop — the row's composition decides the payoff, so placement is the bet.",Dead in talent-poor rows; a talented card never fires its own hoop; fires only on scoring melds.,grid-local,x+line,no,1,,pre-grid catalog
Added,Knives,"Impalement arts — the thrower gets billing, the target girl has the nerve",A quivering throwing knife buried in a painted board beside an unflinching assistant,Common,1,Base suit. Knife props launch from the OPPOSITE row edge and score plain (non-skill) prop cards they pass; the spawner scores itself by design.,"# IMPLEMENTED: PipSuitKnife
class PipSuitKnife extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()  # mirrored entry side
    s.modifiers = [PropScoreProps.new()]     # plain cards duck under
    return [s]",suit;prop;economy,The mirror of Hoops: your chaff finally earns — prop-heavy rows become knife alleys.,Anti-synergy with talent-stuffed rows; rewards keeping cheap cards you would otherwise cut.,grid-local,x,no,1,,pre-grid catalog
Added,Balls,Beni Hasan tomb jugglers (~1994 BCE) — the oldest trick on Earth,Three worn leather balls arcing over an upturned juggler's hat,Common,1,Base suit. Ball props arc down the column (mancala walk picks talent targets at spawn) and drop the Juggling status: a Juggling card pays out column score when it later scores.,"# IMPLEMENTED: PipSuitBall
class PipSuitBall extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()  # ballistic, mancala targets
    s.modifiers = [PropDropStatus.new(StatusJuggling)]
    return [s]",suit;prop;status;combo,Deferred payoff — you seed Juggling now and choreograph the encore next submit.,Payout needs the target to score AGAIN; a cleared board wastes the setup.,grid-local,y,no,1,,pre-grid catalog
Added,Flames,Fire eating and full-body burns — the least forgiving skills in the industry,A gout of orange flame licking up from a performer's raised torch,Common,1,Base suit. Fire props arc down the column dropping Burning: a Burning card's own suit effect fires with multiplied prop count. Same-act fire cascades (row-scored Burning buffing later columns) are intended.,"# IMPLEMENTED: PipSuitFire
class PipSuitFire extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()  # skips talents + other Fire
    s.modifiers = [PropDropStatus.new(StatusBurning)]
    return [s]",suit;prop;status;combo,Chain reactions — one good burn turns the whole act into a cascade the player authored.,Multiplies suit COUNT only; worthless on cards that will not score again this act.,grid-local,x+y,no,1,,pre-grid catalog
"Modified (type instead of suit, effect is that it increases its own cost, is heavy) (gold gen should be its own talent)",Gold,"Chinese money-suited cards — coins and strings of coins as suits, 1,100 years of precedent",A heavy coin-stamped card sinking through the deck like a coin in water,Rare,3,"Special suit, never rolled randomly. Gold-suit cards ARE currency (full trade value at shops); when one scores, mint a Gold token card (TypeHeavy) to the deck bottom.","class PipSuitGold extends PipSuit:
  func spawn_props(origin, count): return []  # no props
  func on_score(result) -> void:
    game.defer(func(): game.mint_card(TypeHeavy, RULES_GOLD))  # B10: defer deck mutation
    game.register_combo(combo_key())",suit;economy;token;Producer,Scoring literally prints money — the economy build's engine is visible on the table.,Gold tokens bloat and sink the deck; every mint dilutes draws toward dead weight.,global,deck,no,1,,pre-grid catalog
Added,Electric,"Bailey lit the circus by electricity in 1879, before most towns had it",A crackling blue arc leaping between two metal pylons over sepia canvas,Epic,5,"Special suit, never rolled. When an Electric card scores, an arc prop hops card-to-card through orthogonally adjacent cards, +points per link; the chain dies at the first gap.","class PipSuitElectric extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()
    s.modifiers = [PropChainHop.new()]  # NEW PropModifier: route recomputed per hop,
    return [s]                          # pays game.add_line_score per link",suit;prop;formation;combo,Board topology becomes a circuit — players start wiring the Ring like electricians.,"All-or-nothing: one empty slot breaks the chain; wants dense boards, which choke Spotlight.",grid-local,x,no,1,,pre-grid catalog
Added,Fireworks,Ruggieri family pyrotechnics — the royal fireworks of 18th-century Europe,A rocket streaking up a card column leaving a glitter trail,Epic,5,"Special suit, never rolled randomly (deck12 is its only grant path). When a Fireworks card scores, the rocket rises its column and banks the column score directly.","# IMPLEMENTED: PipSuitFirework (special, excluded from PipSuit.STANDARD)
class PipSuitFirework extends PipSuit:
  func spawn_props(origin : Vector3i, count : int) -> Array[PropSpawner]:
    var s : PropSpawner = PropSpawner.new()  # rises, banks col score at top
    s.modifiers = [PropBankColumn.new()]
    return [s]",suit;prop;Special Effects;economy,"Instant, loud, column-sized payoff — the crowd-pleaser button.","No status, no chain — pure flat value; weakest in short columns.",grid-local,y,no,1,,pre-grid catalog
Added,Roman Numerals,"Circus Maximus, Rome — the original circus",A rank pip carved as marble Roman numerals with laurel trim,Common,1,"Cosmetic rank skin: this card's rank renders as Roman numerals. Melds, stacks and comparisons are completely normal.","class PipRankRoman extends PipRankNumeral:
  func get_frame() -> int: return ROMAN_FRAMES + rank  # visuals only
  # comparisons untouched: PipComparator numeric fallback applies",pip;cosmetic,Cheap collectible shine — rarity borders for people who like marble.,"None: pays only in style, competes for a pack slot with real effects.",grid-local,h,yes,1,,pre-grid catalog
Added,The Blank,Blank stock cards printed in real decks; the sideshow blow-off mystery tent,A card that is only an ivory rectangle with a faint question of a shadow,Common,1,"No rank, no suit. Stacks on anything; anything stacks on it; never melds and scores 0. Pure spatial glue.","class PipRankBlank extends PipRank:
  func on_compare_ranks(a, b): return 0.0    # always stackable
  func on_compare_suits(a, b): return NAN    # incomparable: never a flush
  # excluded from melds by returning no rank value to Scoring",pip;movement;freakshow,Teaches the deepest lesson — position is worth points you cannot see.,A permanently dead scoring slot; every Blank lowers your ceiling.,grid-local,h+line,yes,1,,pre-grid catalog
"Vetoed (rank that is always 11 is boring, joey should be a clown token with actual effect)",The Joey,Joseph Grimaldi — clowns are still called Joeys after him,A Jack in whiteface and motley juggling his own crown,Common,1,Face rename: Jacks are Joeys. A Joey counts as a Clown-class card for group effects.,"class PipRankJoey extends PipRankNumeral:  # rank 11
  func get_class_tag() -> StringName: return &'Clown'
  # group lookups (leaders, Greasepaint) read get_class_tag from pips too",pip;Clown,Faces stop being dead royalty and join the troupe — Jack synergy decks appear.,Tag only helps if you run Clown payoffs; otherwise an ordinary Jack.,grid-local,none,no,1,,pre-grid catalog
