game	url	site_category	rules_as_read
Klondike Solitaire	https://www.solitairenetwork.com/solitaire/klondike-flip-3-solitaire-game.html	Klondike Games	Klondike Flip-3 Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, 28 cards are dealt to the layout. There are 7 Columns. The 1st Column is dealt one card, the 2nd is dealt 2, 3rd 3, up to the 7th column which is dealt 7 cards. All cards are dealt face down except for the last card in each Column. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 can be placed on an A, then a 3, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K. The same holds true for the other suits. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 or 6 may be placed on a black 7 or 7. | All face up cards in any Column are available for movement to another Column as long as the build rule is followed. For example, the sequence Q, J, 10 can all be moved onto the K because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with any card or cards that may be validly moved. | Stock | Cards from the Stock are flipped three at a time to a Discard Pile. When no cards remain in the Stock, the cards from the Discard Pile can be flipped over and gone through an unlimited number of times. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | Solitaire Network's version of Klondike allows for any card(s) to be placed in empty Columns. Many people also play that only Kings may fill empty Columns. Solitaire Network's general approach is to be liberal with the rules. Players who wish to play that only Kings may fill empty Columns are free to restrict themselves to that rule.
Forty Thieves Solitaire	https://www.solitairenetwork.com/solitaire/forty-thieves-solitaire-game.html	40 Thieves Games	"Summary | Forty Thieves (a.k.a ""40 Thieves"") is a challenging game of skill that has become quite popular in recent years. The game is most likely of French origin. In times past it has been known by a variety of names: Big Forty, Napoleon at Saint Helena, Roosevelt at San Juan, and Le Cadran. | Legend has it, Napoleon was an avid card and game player and supposedly played this game while exiled on the barren wind-swept island of Saint Helena after losing the battle of Waterloo to the British in 1815. While many of those facts are true, there is some controversy as to whether Napoleon was playing this particular game, or for that matter any kind of solitaire game at all. In David Parlett's History of Patience, the argument is made that the facts may have been misinterpreted. He certainly knows a thing or two about solitaire. | Forty Thieves will require your concentration and a considerable amount of attention to play it well. Although only 5% of Solitaire Network plays result in a win, we think that with careful forethought and close attention to what cards have already been seen, and yet to be seen, that the win rate would be somewhere between 15 and 20%. | Forty Thieves gets its name from the fact that there are 40 cards dealt to the layout at the start of the game - each card being a thief that wants to prevent you from winning - hence there are 40 thieves that are out to stop you. Although there are many variations of Forty Thieves, Solitaire Network is happy to provide this most common version of the game. But we are looking into providing other variations since it is so popular. | Forty Thieves Rules | Goal | Move all cards to the eight Foundation piles, starting from the Aces and continuing up to the Kings in EACH suit. | The Deal | Using two decks, 40 cards are dealt face up to the ten Columns with each column receiving 4 cards. The remaining cards form the Stock. | Foundations | Starting with an Ace and continuing up to the Kings, each Foundation is built UP and in the SAME SUIT. | Columns | Columns are built DOWN and in the SAME SUIT. For example, within the columns, the only card that can be played onto a 7 of Diamonds would be a 6 of Diamonds. | The exposed card in any Column is available for play to another Column or to a Foundation pile. | Empty Columns may be filled with any card. | Stock and Discard Pile | Cards from the Stock are flipped one at a time to the Discard Pile. The top card of the Discard Pile may be played to a Column or to a Foundation. There are no redeals."
Yukon Solitaire	https://www.solitairenetwork.com/solitaire/yukon-solitaire-game.html	Scorpion Games	How to play Yukon Solitaire | Rules Summary: | Build Foundations from Ace to King in each suit. | Build Columns Down and in Alternating Color. | Any number of face-up cards may be moved. | Cards do not have to be in sequence to move. | Empty Columns are filled only with Kings and cards accompanying them. | Yukon Solitaire is a combination of two other well-known Solitaire Games:Klondike and Scorpion. | Goal: | The goal of Yukon Solitaire is to move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt to the layout. There are 7 Columns. Each Column is dealt one more face down card than the previous Column starting with 0 face down in the first column. Columns two through seven are then dealt 6 more cards each face up. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ALTERNATING COLOR similar to Klondike. For example, a red 6 may be placed on a black 7. | Any number of face up cards may be moved to another Column provided that the above build rule is followed. It does not matter whether the cards being moved are already in sequence or not. For example, a red 6 may have a King and a 2 on it. Those three cards may be moved to a black 7. | The topmost card in any Column is available for play to either another Column or a Foundation. When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with Kings or Kings with other cards dragged along. | Game Notes | Yukon Solitaire is a cousin to Klondike. Layout and game play are similar. If you like Klondike, you will probably like Yukon Solitaire also. | Yukon Solitaire Strategy: | The more cards that are in play (face up) the better. So it is generally important to uncover face down cards whenever possible. | It is helpful to work backwards from cards that you want to move, instead of looking at the bottommost cards in columns. Start with cards that will uncover face down cards if the card moves. | Try to clear out one or two columns so that Kings can be moved into them. So focus first on clearing one of the first 1-3 Columns early in the game. | If you cannot make a move that will uncover a face down card then focus on making moves that will uncover cards that can be moved to a Foundation. | Try to build up the foundations in unison whenever possible. For example, if both black 3's are in the Foundations, there is no place to move a red 2 within the Columns if that becomes necessary. | Since only Kings can fill empty columns, clearing out more columns than are needed for the Kings can be wasteful.
Scorpion Solitaire	https://www.solitairenetwork.com/solitaire/scorpion-solitaire-game.html	Scorpion Games	Scorpion Solitaire Rules | Goal | Form four sets of cards of the same suit from King to Ace within the Columns. | The Deal | Using one deck, each of seven Columns is dealt 7 cards. In the first four Columns, the first 3 cards are dealt face down - the Scorpion's tail. All other cards are dealt face up. Three cards will remain in the Stock. | Columns | Columns are built DOWN in the SAME SUIT. For example, a 6 of clubs may only be placed onto a 7 of clubs. | Any number of face up cards may be moved whether in sequence or not provided the above build rule is applied. | When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with Kings. | The goal is to build 4 sets of cards within the layout from King down to Ace in the same suit. One point is scored for each card built within a Column starting with a King. For example, if a Column has a K, Q, and J of the same suit in sequence then three points are scored for that combination. | Stock | 3 cards will remain in the Stock after the deal. When play comes to a standstill (or sooner if desired,) clicking on the Stock deals it's 3 cards one each to the first three Columns.
Canfield Solitaire	https://www.solitairenetwork.com/solitaire/canfield-solitaire-game.html	Klondike Games	Canfield Solitaire Rules | Goal | Move all cards to the four Foundation piles in the same suit. The starting Foundation rank changes from game to game. | The Deal | Using one deck, a single card is dealt to the first Foundation. Next, each of the four Columns is dealt one card. Finally, 13 cards are dealt to the Reserve Pile. Only the last card is face up. | Foundations | Foundations are built UP and IN SUIT starting with the rank of the card dealt to the first Foundation and ending with the rank one less. For example, if a 3 of hearts was dealt to the first Foundation, then the 4 of hearts would be played onto the 3, then the 5, 6, 7, 8, 9, 10, J, Q, K, A, and 2 of hearts. Each Foundation in this example would also start with a 3. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | All face up cards in any Column are available for movement to another Column as long as the above build rule is followed. For example, a red Queen, black Jack, and red 10 can all be moved to a black King because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. | Empty Columns may be filled with any card or group of cards that may be validly moved. | Stock | Cards from the Stock are flipped three at a time to a Discard Pile. When no cards remain in the Stock, the cards from the Discard Pile can be flipped over and gone through an unlimited number of times. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played.
Eight Off Solitaire	https://www.solitairenetwork.com/solitaire/eight-off-solitaire-game.html	Free Cell Games	"Eight Off Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt to the layout. Each of the eight Columns are dealt 6 cards, and the remaining four cards are dealt one each to four of the eight Reserves spaces. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in the SAME SUIT. For example, only a 6 of clubs may be placed on a 7 of clubs. | The topmost card in any Column is available for movement to either another Column, a Foundation, or a Reserve (one of the 8 spaces on the sides.) | Empty Columns may be filled with any card. | Reserves | There are Eight Reserves available for play that may hold 1 card each. Four Reserves start the game with a card already dealt to it. Four others start the game empty. An empty Reserve may hold any card. If a Reserve becomes empty, any available card may be played there. | Game Notes | SolitaireNetwork.com's version of Eight Off supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible by moving cards singly using Reserves or empty Columns to shuffle the cards around."
La Belle Lucie Solitaire	https://www.solitairenetwork.com/solitaire/la-belle-lucie-solitaire-game.html	Shamrocks Games	How to play La Belle Lucie | Rules Summary: | Build Foundations from Ace to King in each suit. | Build Fans down in the same suit. Fans may hold any number of cards. | Only one card may be moved at a time. | Empty Fans must remain empty. | Two redeals are allowed. Cards are shuffled before being redealt. | On the third redeal, one open Fan may be used as a Free Move. | La Belle Lucie Solitaire allows three shuffles and has many opportunities to make skillful decisions. | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt face up in Fans (horizontal Columns) of 3 cards each. The last Fan will hold the leftover single card. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Fans | Fans are built DOWN in the SAME SUIT. Only the topmost card may be moved at a time. | Fans may hold any number of cards. Once a Fan is empty, it must remain empty. | Redeals | The cards in the Fans may be gathered and Redealt at any time. The cards are shuffled before being redealt. Only two redeals are allowed. | Free Move | After the last redeal, one extra space is provided that can start one extra fan. Any available card may be placed in this fan and then other cards may be played on top of the first card. Once this pile becomes empty it must remain empty. | La Belle Lucie Strategy | Since all cards are visible at the start of the hand, it will help you solve more games by studying the layout for a while before making your first play. | There is never a reason to hold back any cards that can be moved to a Foundation. Play them as soon as you can. | When a Fan has only one card in it, it is always safe to play onto that card. | When a Fan contains two or more sequential cards of the same suit, it is likewise safe to play even more sequential cards onto those cards. They could be an exception to this rule on the third redeal if the Free Move is still available. | On the first two shuffles, since Kings cannot be moved (except to a Foundation,) review where the Kings are after each shuffle. Also, it is almost always acceptable to play onto a King even if the King is blocking other cards (the exception being on the third redeal when the Free Move is still in play.) | Since Kings likely cannot be moved early in the game, work on moving Queens onto the Kings. Then work Jacks onto the Queens, etc. | Take notice of higher-ranked cards blocking lower-ranked cards of the same suit. Although it may not be possible to move these cards to Foundations directly, sometimes they can be unstacked by moving the higher-ranked card to another Fan. | Once you place a card onto another card, neither card can be moved (or any cards blocked by them) until those cards are played to a Foundation (except for the Free Move.) So generally, you will want to focus on the higher-ranked cards first. So before moving a card, consider if the card that you are moving onto can be moved first. | When trying to free up lower-ranked cards for play to Foundations, be patient, but also don't lose your opportunity to get those cards played. It is easy to see a possible way to play cards to Foundations, but then block those plays too. | Once a Fan is empty it cannot be repopulated. So there is no need to quickly move the last card in a Fan unless it is to a Foundation. | On the third and last shuffle you will most likely need to move a King into the Free Move spot. If there are two or more Kings blocking other cards, move the King to the Free Move spot that is likely to be one of the last Kings that would get moved to Foundations. Occasionally, it may make more sense to use the Free Move for a lower-ranked card. | Finally, don't give up hope on the first two shuffles. It is very difficult to win until the third shuffle.
Spider Solitaire 2-Suits	https://www.solitairenetwork.com/solitaire/spider-2-suits-solitaire-game.html	Spider Games	"How to play Spider 2-Suits | Game Summary | Although the standard Spider Solitaire game still is a highly popular game, the 2-Suit Spider Solitaire variant has rapidly gained in popularity due to retaining what makes the classic Spider game so good, while making it much more accessible to the average player. For example, on Solitaire Network, standard Spider is only won about 4% of the time and is a very difficult game that requires more than the usual amount of strategy and concentration, whereas the the Spider Solitaire 2-suits variation is won about 18% of the time and is a more relaxed version. It is a great introduction to the game of Spider for most people. | Rules Summary: | Build sets of 13 cards from King to Ace IN SUIT within the Columns. | Complete sets of cards are removed from the layout. | Build Columns Down in ANY suit, but prefer the SAME SUIT. | Built cards IN SUIT can move as a unit, and can be split. | Empty Columns may be filled with any properly sequenced card(s). | Click on the Stock to deal another card to each Column, but only when no Column is empty. | Spider 2-Suits strikes the perfect balance. It is nowhere near as difficult as regular Spider, but it still makes you work for the win. | Goal | The goal in 2-suit Spider Solitaire is the same as in most other Spider games: Arrange eight sets of cards from King down to Ace in the same suit directly within the Columns. | The Deal | 2-Suit Spider uses two decks (four sets of Ace through King in Hearts, and another 4 sets in Spades. There are ten Columns and each Column is dealt either 5 or 6 cards. The first four Columns are dealt 6 cards, and the remaining six Columns are each dealt 5 cards. Only the top card in each Column is dealt face up. | Stock | Every click on the Stock will deal one card to each Column. Click on the Stock after no more moves are possible (or desirable) in the layout. All Columns must contain at least one card before the cards will be dealt. There are no redeals. | Columns | Columns are built DOWN in ANY SUIT. However, you should prefer building cards that are of the same suit, since that is the goal. But it may become necessary or advantageous to build the opposite suits at times. | The fully exposed card of each Column is always available to move. Also, cards of the same suit and in proper sequence can be moved to another Column provided the above build rule applies. As an example, a 5, 4, and 3 of Hearts may move to any 6. However, an 5 of spades, and then a 4 and 3 of Hearts may not move as a unit because they are not all of the same suit. | Sequences may be split apart once formed. For example, in a sequence such as the 5, 4, and 3 of Hearts, the 4 and 3 may be moved away from from the 5 of Hearts so that it can be played to any other 5. | When a full sequence of King through Ace in the same suit is arranged within a Column, it is removed from the layout (tableau.) | Empty Columns can be filled with any single card or packed sequence of cards. All Columns must contain at least one card before more cards can be dealt from the Stock. | One point is scored for each built card within Columns starting with a King. For example, if a Column has a King, Queen, and Jack of the same suit in sequence then that will score three points. Hence, a fully packed set of King through Ace in the same suit scores 13 points. | Game Notes | 2-Suit Spider Solitaire plays identically to standard Spider Solitaire except that only two suits are used: Hearts and Spades. Spider Solitaire 2-Suits is Solitaire Network's most popular variant of Spider by a significant margin. | Spider Solitaire 2-Suits Strategy | Although you are allowed to build cards of any suit on top of each other, you should always prefer building cards of the same suit whenever possible. | When building mixed-suit Columns, the higher-ranked cards should be preferred since those cards will be available for longer to build on versus lower-ranked cards that will soon have an Ace and cannot be built upon. | It is usually more important to make plays that reveal face-down cards even if that means you must build different suited cards onto each other. | When it is not possible to build cards of the same suit, consider whether or not it is advantageous to hold off building different-suited cards. However, it is usally correct to defer dealing new cards until there are no other plays. | Early in the game it is very useful to clear out at least one Column if possible. You most likely will need empty columns to move Kings into, but any card may be moved into empty Columns. Keep in mind though that once a King is moved into an empty Column that you will not be able to empty that Column again until the King's full sequence is made and removed from the layout. Therefore, only move Kings into empty Columns when it will help you gain access to cards under it. | Once you have an empty Column, try hard to make it easy to clear it out again so it can be reused. For example, try not to mix the suits of cards in that Column. | When possible, keep some Column's cards ""clean"" meaning all cards are of the same suit, and use other Columns for mixing the suits. This of course will get interrupted when dealing new cards, and that is unavoidable. But when this happens, work on those clean Columns first. | Once in a while it is advantageous to split up cards in a sequence, so be on the watch for those situations. | Although obvious, complete full sequences of cards whenever possible since they will be removed from play and will free up other moves."
FreeCell Solitaire	https://www.solitairenetwork.com/solitaire/freecell-solitaire-game.html	Free Cell Games	"FreeCell Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, all cards are dealt face up to the 8 columns in the layout. The first four columns are dealt 7 cards each and the last four columns are dealt 6 cards each. | Foundations | Foundations are built UP and IN SUIT starting with Aces. For example, on the Ace of Clubs, only the 2 of Clubs may be played, then the 3 of Clubs, etc. | Columns | Columns must be built DOWN IN ALTERNATING COLOR. For example, a black 7 can be placed on a red 8, but not on a black 8. However, any card may be placed in an empty Column. | Only the topmost card in any column may be moved. | Reserves | The are four Reserves that act as a holding spot for any card at any time - the ""free cells."" These Reserve spots start the game empty. | Game Notes | SolitaireNetwork.com's version of FreeCell supports a ""Supermove"" where you may move more than one card at a time as long as the move would have been possible had it been done moving a single card at a time also."
Klondike Flip-1 Solitaire	https://www.solitairenetwork.com/solitaire/klondike-flip-1-solitaire-game.html	Klondike Games	Klondike Flip-1 Solitaire Rules | Goal | Move all cards to the four Foundation piles from Ace to King in the same suit. | The Deal | Using one deck, 28 cards are dealt to the layout. There are 7 Columns. The 1st Column is dealt one card, the 2nd is dealt 2, 3rd 3, up to the 7th column which is dealt 7 cards. All cards are dealt face down except for the last card in each Column. | Foundations | Foundations are built UP and IN SUIT starting with an Ace and ending with a King. For example, a 2 of Clubs can be placed on an Ace of Clubs, then a 3 of Clubs, then a 4, 5, 6, 7, 8, 9, 10, J, Q, up to the K of Clubs. The same holds true for the other suits. | Columns | Columns are built DOWN in ALTERNATING COLOR. For example, a red 6 may be placed on a black 7. | All face up cards in any Column are available for movement to another Column as long as the build rule is followed. For example, a red Queen, black Jack, and red 10 can all be moved to a black King because the connecting cards (the K and Q) follow the rule that cards are built Down and in Alternating Color. | The topmost card in any Column is available for play to either another Column or a Foundation. When a face down card is the topmost card in a Column, it is flipped face up. | Empty Columns may be filled with any card or cards that may be validly moved. | Stock | Cards from the Stock are flipped one at a time to the Discard Pile. The Stock is only played through once. When no more cards remain in the Stock, you may play any remaining moves within the layout and then the game ends. | Discard Pile | Only the top card of the Discard Pile may be played elsewhere. When a card from the Discard Pile is played then the new top card can also be played. | Game Notes | Solitaire Network's version of Klondike allows for any card(s) to be placed in empty Columns. Many people also play that only Kings may fill empty Columns. Solitaire Network's philosophy is to be liberal with the rules. Players who wish to play that only Kings may fill empty Columns are free to restrict themselves to that rule.
