kept_name	kept_origin	folded_name	folded_origin	folded_source	folded_mechanic
Knives	catalog	Knives	braindump	curated effects pre grid.csv:5	Base suit: knife props (count = rank) launch from the opposite row edge and score plain (non-skill) prop cards they pass, with the spawner scoring itself; stacking requires different suit and adjacent rank.
Tintype	catalog	Tintype	designdocs	DESIGN_RECOMMENDATIONS.md §4 Types (materials)	On acquisition, permanently copies the pips of the card it was created from.
Greasepaint	catalog	Greasepaint	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	Card counts as a Clown (class) in addition to its own class.
Top Billing	catalog	Top Billing	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	Card always scores first within its meld (controls trigger order).
Ghost Light	catalog	Ghost Card (adopt)	designdocs	DESIGN_RECOMMENDATIONS.md §1 How I read your design	Card does not block Spotlight passthrough for cards beneath it.
Ghost Light	catalog	Ghost Light	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	Card does not block the Spotlight of cards beneath it.
Understudy	catalog	Understudy	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	If the card above it in the stack is destroyed or consumed, this card copies that card's skill.
Iron Body	catalog	Iron Body	designdocs	DESIGN_REFERENCES.md §A5 China	Immune to the first destruction/debuff each show.
Ascetic	catalog	Ascetic stamp	designdocs	DESIGN_REFERENCES.md §A7 India & South Asia	Immune to floor/row hazards.
Contract Ink	catalog	Contract Ink	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	+X points per show played; the card leaves the deck if benched two shows in a row.
The Encore	catalog	The Encore	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	If this card's skill triggered this show, 50% chance it triggers once more at show end.
Lloyd's Policy	catalog	Lloyd's Policy	designdocs	DESIGN_RECOMMENDATIONS.md §5 Stamps	The first time this card would be destroyed or debuffed, prevent it.
Ringmaster's Grip	catalog	Always-grabbable (unnamed)	designdocs	DESIGN_DOC.md §14.2 Stamps	This card can always be picked up regardless of stack legality.
The Contrary	catalog	The Contrary	designdocs	DESIGN_REFERENCES.md §B5 Clowning Across Cultures	Descending runs count as ascending, and the 'worst' hand scores as the best.
Sawing in Half	catalog	Sawing in Half	designdocs	DESIGN_RECOMMENDATIONS.md §6 Magician	Cue: split a card into two cards of half rank each (rounded up/down), same suit.
Misdirection	catalog	Misdirection	designdocs	DESIGN_RECOMMENDATIONS.md §6 Magician	While spotlit, the leftmost covered card in each adjacent column also becomes spotlit.
Pandora's Box	catalog	Pandora('s) Box	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	On game start becomes a random skill; on game end resets back to Pandora Box.
Pandora's Box	catalog	Pandora Box card	braindump	gam draft.txt:556	Pandora Box: at game start becomes a random skill; at game end resets back to Pandora Box.
Metamorphosis	catalog	Metamorphosis	designdocs	DESIGN_RECOMMENDATIONS.md §6 Magician	Cue: swap this card with any card in the draw deck (seen or unseen).
Frankenstein	catalog	Frankenstein	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	On submit, merges with the card above and below into a 3-card merged stack that stays in the zone after scoring.
Utter Chaos	catalog	Utter Chaos	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Becomes a random skill on every Next.
The Bullet Catch	catalog	The Bullet Catch	designdocs	DESIGN_RECOMMENDATIONS.md §6 Magician	Scores 10x rank when scored while in the Spotlight; 1-in-13 chance it is destroyed instead.
Human Cannonball	catalog	Human Cannonball	designdocs	DESIGN_RECOMMENDATIONS.md §6 Acrobat	Cue: fire the bottom card of any column to the top of another column.
Blondin's Crossing	catalog	Blondin's Crossing	designdocs	DESIGN_RECOMMENDATIONS.md §6 Acrobat	Once per show: move an entire row one column left or right, wrapping around.
Hungry Hippo	catalog	Hungry Hippo	designdocs	DESIGN_DOC.md §14.1 Skills/Feats	Consumes cards dropped on it, adding their rank to its own up to a cap of 13 total; returns them at game end.
The Learned Pig	catalog	The Sapient Pig	designdocs	DESIGN_REFERENCES.md §C2 Séance, Spiritualism & Paranormal	Reveals the description of any facedown or unknown card once per turn.
