source	name	slot_guess	mechanic
DESIGN_RECOMMENDATIONS.md §1 How I read your design	Ghost Card (adopt)	stamp	Card does not block Spotlight passthrough for cards beneath it.
DESIGN_RECOMMENDATIONS.md §1 How I read your design	The Acrobat (adopt)	skill	Card can be grabbed even while covered by another card.
DESIGN_RECOMMENDATIONS.md §1 How I read your design	Searing Knife (adopt)	skill	Column hazard card enables town/boss content around knife scoring.
DESIGN_RECOMMENDATIONS.md §1 How I read your design	The Anarchist (reject as player card)	boss	Silences/disables the rule deck while in play; recommended as a boss effect rather than a player card.
DESIGN_RECOMMENDATIONS.md §1 How I read your design	Sliced Reality (reject)	unknown	Changes column count; redundant with ZoneAdder rule cards.
DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe	Combo scoring formula	rule	Show score = sum of card effect points, multiplied by (1 + row combo) and by (1 + col combo), where row/col combo = number of unique row/column melds scored this submit.
DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe	Fame as antagonist reframe	rule	Rename the goal score to 'Fame needed'; overscore grants tips; no separate enemy HP is added.
DESIGN_RECOMMENDATIONS.md §2.1 Scoring: combo reframe	Performance Rings as depth multiplier	rule	Performance Rings act as multipliers on the column combo specifically, rewarding tall play.
DESIGN_RECOMMENDATIONS.md §2.2 Alt win cons: The Booking	The Booking	consumable	A contract card sits in the rule deck for the show; player declares a booking (e.g. score X with no knife melds, win in 2 submits, trigger 12 unique feats) and the show is won by fulfilling it rather than by max score.
DESIGN_RECOMMENDATIONS.md §2.2 Alt win cons: The Booking	Endless bookings	unknown	In endless mode, bookings become increasingly absurd contracts each repeat.
DESIGN_RECOMMENDATIONS.md §2.4 Suits: 4 + specials	Base four suits	suit	Standardize on 4 base suits (Knives, Hoops, Balls, Flames) instead of 6, mapping 1:1 to projectile mechanics.
DESIGN_RECOMMENDATIONS.md §2.4 Suits: 4 + specials	Special suits via packs only	suit	Fireworks and Electric are special suits that appear only via packs/effects, never in the base roster, like wild/stone enhancements.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Joey (Jack)	rank	Face-card rename to a troupe role; unlocks 'Joey synergy' clown cards.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Ringmistress (Queen)	rank	Face-card rename to a troupe role.
DESIGN_RECOMMENDATIONS.md §3 Suits & Pips	The Impresario (King)	rank	Face-card rename to a troupe role.
