name,tier,weight,scope,axis,height,grids,hazard,objective,payoff,counterplay,groups,reference,source
The Empty Chair,small,1,grid-local,cell,no,1,-,At least one cell in every grid must still be empty when the show ends.,The empty cell pays out its grid's row term again as tips.,Any card that removes a placed card; the auto-fill blind is its direct enemy.,objective;cell,The one seat kept free for the ghost of the house.,draft:1479
Five Couples,small,1,grid-local,line,no,1,-,At least five pairs must have scored across the whole board.,Every pair after the fifth scores double.,Rank-fixing clowns; Slapstick and Custard Pie both manufacture pairs.,objective;meld,"Pinochle's marriages, counted rather than named.",draft:1479
The Twenty-Thirty,small,1,grid-local,line,no,1,-,At least one scored line must have ranks summing to between twenty and thirty inclusive.,That line scores as though it were one hand better than it is.,Face-cards-count-ten changes every sum; rank-shifting cells do it cell by cell.,objective;count,"Cribbage's counting phase, bounded into a window.",draft:1479
Family Resemblance,big,1,global,grid,no,2+,-,At least one cell coordinate must hold the same rank in every open grid.,Each matching coordinate pays the special bucket once.,"Cross-grid movement - Teleport Boxes, Cannon Woman, Walking Through Walls.",objective;grid,The multi-grid objective that only exists because grids align.,draft:1479
Nothing Matching,small,1,grid-local,x,no,1,At least one row must contain no flush and no four of a kind.,-,The plainest row on the board scores its rank sum as flat points.,Suit-changing clowns can break a flush you accidentally built.,objective;restriction,The anti-flush hand the five-suit note asks for.,draft:1479
The Descending Act,small,1,grid-local,y,no,1,-,One column must read in strict ascending or descending rank from top to bottom.,That column scores as a straight regardless of what it actually is.,Selection-sort and Liberty Horses both reorder; Slapstick fixes one mistake.,objective;formation,President's climbing rule as a single-column goal.,draft:1479
Sight Unseen,big,1,grid-local,cell,no,1,Every card is face down in the Entrance and only turns face up once placed.,-,Every card placed blind that completes a line scores double.,"Crystal Ball, Madame Zora's Eye and any deck-vision effect see through it.",hazard;secret,The owner's own line - some cards show up flipped until placed.,draft:1479
The Ranked Floor,small,1,grid-local,cell,no,1,"Scattered cells add or subtract from the rank of whatever is placed on them, shown before you commit.",-,A card placed on a subtracting cell scores its original rank as bonus tips.,Rank-growth cards absorb a penalty; Expanding Dice climbs back out of one.,hazard;cell,"Mancala cells, made visible. Candy-crush's board modifiers.",draft:1479-1480
Dress Code,small,1,grid-local,cell,no,1,Some cells demand a named suit and refuse anything else.,-,A card that satisfies a demanding cell scores its suit effect twice.,Custard Pie repaints a suit; the Harlequin pip satisfies two demands at once.,hazard;cell,"The suit-forcing cell, in its restrictive reading.",draft:1479
The Dye Vat,small,1,grid-local,cell,no,1,Some cells convert whatever is placed on them to a named suit.,-,Converted cards count for both suits when the line scores.,Anything that wants a flush; anything that hates one.,hazard;cell,"The suit-forcing cell, in its generous reading.",draft:1479
