name,kind,scope,axis,height,grids,rarity,groups,effect,trigger,note,source,status
Soltāro,Meta,global,none,no,1,-,identity;title,The show is named Soltāro - solitaire plus Balatro plus the Latin for sun. The title card is itself a card in the menu troupe wagon.,menu,Keep one canonical spelling with the macron; the ASCII fallback Solatro is the project folder name only.,draft:1,carried
The Greatest Deck on Earth,Meta,global,none,no,1,-,identity;title;flavor,"Alternate show billings the marquee cycles through - Cardaganza, Circustaire, Showitaire, Patience-mania. The marquee picks one per run as the tour's poster.",on_game_start,Free flavor variety; the Barnum habit of stuffing titles into a circus name is authentic and already in the references.,draft:2,carried
Void Symphony cue,Audio,global,none,no,1,-,audio;reference,"Reference track for the between-shows map theme - sparse, patient, no percussion until a node is entered.",map,"Reference only, never shipped audio.",draft:3-5,carried
Neon Nightlife cue,Audio,global,none,no,1,-,audio;reference,"Reference track for the show itself - the midway at night, driving and warm.",on_game_start,Reference only. Pairs with the warm-foreground palette rule.,draft:6,carried
Balatro-with-solitaire pillar,Meta,global,none,no,1,-,identity;pillar,"The founding compression - Balatro's joker economy on a solitaire board. The grid overhaul keeps it: poker hands are still the meld vocabulary, effects are still the engine.",design,Survives the grid pivot untouched; it is the reason poker hands stayed when the tableau went.,draft:7,carried
Zachtronics and Hempuli study,Meta,global,none,no,1,-,reference;solitaire,Study set for solitaire variants that carry a rules twist rather than a card twist - the Zachtronics collection and Hempuli's solitaire mystery.,design,"Both are rules-deck arguments: change one rule, get a new game. That is what the rule deck is for.",draft:8,carried
Deck-click drop-down,Rule,grid-local,y,no,1,-,superseded;entrance,Every click of the deck dropped a new row of cards into the board and spent a round.,on_next,"SUPERSEDED by the grid - cards are placed by hand, nothing drops, and the Next button is gone.",draft:13,superseded
Free-space score slot,Rule,grid-local,cell,no,1,-,revived;cell,The old score slot doubled as free parking between deck clicks. Revived as a grid cell that a blind or rule card marks reserved - it holds one card out of scoring until released.,on_card_placed,"Revived by the grid, not carried: a reserved cell is a cell that scores nothing until the rule card frees it.",draft:14,revived
Entrance mulligan,Rule,global,none,no,1,-,entrance;discard,Click cards in the Entrance and press discard to throw them back; the Entrance refills from the deck in random slot order.,on_refill,The discard-as-engine essay's core ask. Costs a limited resource so it is not free filtering.,draft:17,carried
Entrance reorder,Rule,global,x,no,1,-,entrance;order,"Drag cards within the Entrance to change which column each one starts nearest. Order is information, not power.",on_refill,Cheap comfort that becomes strategy once effects care which Entrance slot a card sat in.,draft:18,carried
